name,brand,category,sales_volume,sales_volume_per_unit,new,termination,cost
더제이푸드,바리스타미스김,커피,0,0,0,0,"21,350"
닭터박,박가네 갈비찜찜찜,한식,0,0,0,0,"56,000"
발리인망원,발리인망원(Bali in Mangwon),기타 외국식,0,0,0,0,"94,829"
(주)맛있는상상,밥엔청국장,한식,0,0,0,0,"83,500"
(주)비엠에프앤비,밥풀릭스,한식,0,0,0,0,"9,800"
방실이네,방실꼬,중식,0,0,0,0,"51,150"
(주)방일에프씨,방일해장국,한식,"203,132","4,722",2,2,"88,600"
배달삼겹맛있으면돼지,배달삼겹 맛있으면돼지,한식,0,0,0,0,"54,750"
배달육회육회한가득,배달육회 육회한가득,한식,0,0,1,0,0
(주)용형,배달킹안춘배,기타 외식,0,0,1,1,"49,500"
(주)건담,배배꼬,제과제빵,"247,546","10,869",10,1,"181,080"
엔타스시,백석해장국,한식,0,0,0,0,"67,120"
(주)일공공에프앤피,백억하누,한식,0,0,0,0,"200,000"
(주)일공공에프앤피,백억하누돈,한식,0,0,0,0,"150,500"
마루앤F/D,백오도찹쌀누룽지탕,기타 외식,0,0,0,0,"131,000"
백청우칼국수,백청우칼국수,한식,"502,572","11,912",0,0,"140,080"
㈜자력갱생,버거 라이크 잇,패스트푸드,0,0,0,0,"87,295"
버거비앤비,버거 비앤비,패스트푸드,0,0,0,0,"63,600"
보승FC,버거리(BURGERRY),패스트푸드,0,0,2,0,"75,350"
(주)월드베브릿지,베브릿지,기타 외식,"112,031","5,392",2,3,"112,040"
(주)더블류스텔라,별컵맥주,치킨,0,0,0,0,"65,100"
(주)병천아우내식품,병천황토방순대,기타 외식,"106,051","4,156",0,2,"17,500"
(주)올림엔터프라이즈,보람치킨,치킨,0,0,0,0,"42,800"
보스참치,보스참치 Boss Tuna,일식,0,0,18,0,"30,230"
보승FC,보승대한족발집,기타 외식,0,0,1,1,"74,410"
보승FC,보승회관,한식,"508,618","12,020",5,1,"98,670"
(주)에스엔인더스트리,복고다방,커피,0,0,16,2,"58,100"
복터진집금오산직영점,복터진집,한식,0,0,0,0,"159,822"
본가어탕,본가어탕,한식,"282,053","5,546",0,0,"99,600"
(주)본푸드시스템,본까쓰,일식,0,0,0,0,"158,467"
(주)본푸드시스템,본까쓰델리카페,일식,0,0,0,0,"65,000"
(주)본푸드시스템,본까쓰미니스탠드,일식,0,0,0,0,"65,000"
(주)푸름에프앤에스,본말감자탕,한식,0,0,8,1,"50,410"
(주)티지와이,본연제 유황먹인 닭한마리&칼국수,한식,0,0,0,0,"51,300"
참본F&S,본토막창,기타 외식,0,0,0,0,"90,200"
두루와(주),본품딜리버리,기타 외식,0,0,0,0,0
두루와(주),본품삼계탕,한식,0,0,0,0,"84,950"
(주)비케이엠,본호두(BON HODU),제과제빵,,,0,0,"34,020"
(주)브레이브브라더스,봄설,한식,"1,055,006","15,936",8,2,"193,050"
(주)부자이웃,봉구스밥버거,기타 외식,"79,177","7,105",23,71,"40,200"
(주)푸드봉에비뉴,봉수육,한식,0,0,0,0,"104,000"
봉쥬르와인살롱,봉쥬르 와인살롱,서양식,0,0,1,0,"90,100"
(주)링크온유,부드럽소,기타 외식,"464,412","10,335",3,0,"157,460"
동행푸드,부뚜막김치찜,한식,0,0,0,0,"18,700"
비엘컴퍼니,부리또리(Burrito Lee),기타 외국식,0,0,0,0,"52,600"
꿈꾸는식탁,부산식객,분식,,,1,0,"65,700"
(주)호윤크리에이티브,부산양대창,기타 외식,0,0,0,3,"64,600"
